respondent_id,question_id,answer_text,sentiment
1,Q3,Excited or comfortable,POSITIVE
1,Q5,Very concerned,NEGATIVE
1,Q6,Agree,POSITIVE
1,Q7,I don’t trust them,NEGATIVE
1,Q8,Comfortable,POSITIVE
1,Q9,Not necessary,POSITIVE
1,Q10,"Safety, fairness, or job loss",NEGATIVE
1,Q11,I think it can,POSITIVE
1,Q12,Hopeful or positive,POSITIVE
1,Q13,Yes,POSITIVE
1,Q14,I would trust it,POSITIVE
2,Q3,Excited or comfortable,POSITIVE
2,Q5,A little concerned,NEGATIVE
2,Q6,Disagree,NEGATIVE
2,Q7,I don’t trust them,NEGATIVE
2,Q8,Comfortable,POSITIVE
2,Q9,Maybe,NEUTRAL
2,Q10,Privacy or transparency,NEGATIVE
2,Q11,I think it can,POSITIVE
2,Q12,Worried or negative,NEGATIVE
2,Q13,No,NEGATIVE
2,Q14,I would trust it,POSITIVE
3,Q3,Worried or uneasy,NEGATIVE
3,Q5,A little concerned,NEGATIVE
3,Q6,Not sure,NEUTRAL
3,Q7,Unsure,NEUTRAL
3,Q8,Comfortable,POSITIVE
3,Q9,Maybe,NEUTRAL
3,Q10,Nothing really worries me,POSITIVE
3,Q11,I think it can,POSITIVE
3,Q12,Hopeful or positive,POSITIVE
3,Q13,No,NEGATIVE
3,Q14,Not sure,NEUTRAL
4,Q3,Excited or comfortable,POSITIVE
4,Q5,Not concerned,POSITIVE
4,Q6,Agree,POSITIVE
4,Q7,I trust them,POSITIVE
4,Q8,Comfortable,POSITIVE
4,Q9,Maybe,NEUTRAL
4,Q10,"Safety, fairness, or job loss",NEGATIVE
4,Q11,I think it can,POSITIVE
4,Q12,Hopeful or positive,POSITIVE
4,Q13,No,NEGATIVE
4,Q14,Not sure,NEUTRAL
5,Q3,Neutral / not sure,NEUTRAL
5,Q5,Very concerned,NEGATIVE
5,Q6,Not sure,NEUTRAL
5,Q7,I trust them,POSITIVE
5,Q8,Not sure,NEUTRAL
5,Q9,Maybe,NEUTRAL
5,Q10,"Safety, fairness, or job loss",NEGATIVE
5,Q11,I think it can,POSITIVE
5,Q12,Hopeful or positive,POSITIVE
5,Q13,Yes,POSITIVE
5,Q14,I would trust it,POSITIVE
6,Q3,Neutral / not sure,NEUTRAL
6,Q5,A little concerned,NEGATIVE
6,Q6,Agree,POSITIVE
6,Q7,I trust them,POSITIVE
6,Q8,Comfortable,POSITIVE
6,Q9,Maybe,NEUTRAL
6,Q10,Privacy or transparency,NEGATIVE
6,Q11,I think it can,POSITIVE
6,Q12,Neutral / unsure,NEUTRAL
6,Q13,Maybe / Not sure,NEUTRAL
6,Q14,I would not trust it,NEGATIVE
7,Q3,Neutral / not sure,NEUTRAL
7,Q5,A little concerned,NEGATIVE
7,Q6,Not sure,NEUTRAL
7,Q7,I don’t trust them,NEGATIVE
7,Q8,Uncomfortable,NEGATIVE
7,Q9,Absolutely necessary,NEGATIVE
7,Q10,"Safety, fairness, or job loss",NEGATIVE
7,Q11,Not sure,NEUTRAL
7,Q12,Hopeful or positive,POSITIVE
7,Q13,Yes,POSITIVE
7,Q14,Not sure,NEUTRAL
8,Q3,Excited or comfortable,POSITIVE
8,Q5,A little concerned,NEGATIVE
8,Q6,Agree,POSITIVE
8,Q7,I don’t trust them,NEGATIVE
8,Q8,Uncomfortable,NEGATIVE
8,Q9,Absolutely necessary,NEGATIVE
8,Q10,Privacy or transparency,NEGATIVE
8,Q11,I think it can,POSITIVE
8,Q12,Hopeful or positive,POSITIVE
8,Q13,Yes,POSITIVE
8,Q14,I would not trust it,NEGATIVE
9,Q3,Neutral / not sure,NEUTRAL
9,Q5,Very concerned,NEGATIVE
9,Q6,Not sure,NEUTRAL
9,Q7,I trust them,POSITIVE
9,Q8,Not sure,NEUTRAL
9,Q9,Absolutely necessary,NEGATIVE
9,Q10,Privacy or transparency,NEGATIVE
9,Q11,I think it can,POSITIVE
9,Q12,Hopeful or positive,POSITIVE
9,Q13,Yes,POSITIVE
9,Q14,I would not trust it,NEGATIVE
10,Q3,Neutral / not sure,NEUTRAL
10,Q5,A little concerned,NEGATIVE
10,Q6,Agree,POSITIVE
10,Q7,I trust them,POSITIVE
10,Q8,Uncomfortable,NEGATIVE
10,Q9,Maybe,NEUTRAL
10,Q10,"Safety, fairness, or job loss",NEGATIVE
10,Q11,I think it can,POSITIVE
10,Q12,Neutral / unsure,NEUTRAL
10,Q13,Yes,POSITIVE
10,Q14,I would not trust it,NEGATIVE
,,,
11,Q3,Neutral / not sure,NEUTRAL
11,Q5,A little concerned,NEGATIVE
11,Q6,Disagree,NEGATIVE
11,Q7,I trust them,POSITIVE
11,Q8,Comfortable,POSITIVE
11,Q9,Absolutely necessary,NEGATIVE
11,Q10,"Safety, fairness, or job loss",NEGATIVE
11,Q11,I think it can,POSITIVE
11,Q12,Hopeful or positive,POSITIVE
11,Q13,Yes,POSITIVE
11,Q14,Not sure,NEUTRAL
12,Q3,Excited or comfortable,POSITIVE
12,Q5,Not concerned,POSITIVE
12,Q6,Disagree,NEGATIVE
12,Q7,I trust them,POSITIVE
12,Q8,Not sure,NEUTRAL
12,Q9,Maybe,NEUTRAL
12,Q10,Nothing really worries me,POSITIVE
12,Q11,I think it can,POSITIVE
12,Q12,Hopeful or positive,POSITIVE
12,Q13,Yes,POSITIVE
12,Q14,I would trust it,POSITIVE
13,Q3,Neutral / not sure,NEUTRAL
13,Q5,A little concerned,NEGATIVE
13,Q6,Disagree,NEGATIVE
13,Q7,I trust them,POSITIVE
13,Q8,Comfortable,POSITIVE
13,Q9,Absolutely necessary,NEGATIVE
13,Q10,Privacy or transparency,NEGATIVE
13,Q11,I think it can,POSITIVE
13,Q12,Hopeful or positive,POSITIVE
13,Q13,Yes,POSITIVE
13,Q14,I would trust it,POSITIVE
14,Q3,Neutral / not sure,NEUTRAL
14,Q5,A little concerned,NEGATIVE
14,Q6,Agree,POSITIVE
14,Q7,Unsure,NEUTRAL
14,Q8,Uncomfortable,NEGATIVE
14,Q9,Absolutely necessary,NEGATIVE
14,Q10,Privacy or transparency,NEGATIVE
14,Q11,I don’t think so,NEGATIVE
14,Q12,Neutral / unsure,NEUTRAL
14,Q13,Maybe / Not sure,NEUTRAL
14,Q14,Not sure,NEUTRAL
15,Q3,Neutral / not sure,NEUTRAL
15,Q5,Very concerned,NEGATIVE
15,Q6,Not sure,NEUTRAL
15,Q7,Unsure,NEUTRAL
15,Q8,Comfortable,POSITIVE
15,Q9,Absolutely necessary,NEGATIVE
15,Q10,Privacy or transparency,NEGATIVE
15,Q11,I think it can,POSITIVE
15,Q12,Neutral / unsure,NEUTRAL
15,Q13,Yes,POSITIVE
15,Q14,I would trust it,POSITIVE
16,Q3,Excited or comfortable,POSITIVE
16,Q5,A little concerned,NEGATIVE
16,Q6,Agree,POSITIVE
16,Q7,Unsure,NEUTRAL
16,Q8,Comfortable,POSITIVE
16,Q9,Not necessary,POSITIVE
16,Q10,Privacy or transparency,NEGATIVE
16,Q11,I think it can,POSITIVE
16,Q12,Hopeful or positive,POSITIVE
16,Q13,Yes,POSITIVE
16,Q14,I would trust it,POSITIVE
17,Q3,Neutral / not sure,NEUTRAL
17,Q5,Not concerned,POSITIVE
17,Q6,Not sure,NEUTRAL
17,Q7,Unsure,NEUTRAL
17,Q8,Comfortable,POSITIVE
17,Q9,Absolutely necessary,NEGATIVE
17,Q10,Privacy or transparency,NEGATIVE
17,Q11,I think it can,POSITIVE
17,Q12,Neutral / unsure,NEUTRAL
17,Q13,Yes,POSITIVE
17,Q14,Not sure,NEUTRAL
18,Q3,Worried or uneasy,NEGATIVE
18,Q5,Very concerned,NEGATIVE
18,Q6,Not sure,NEUTRAL
18,Q7,Unsure,NEUTRAL
18,Q8,Comfortable,POSITIVE
18,Q9,Absolutely necessary,NEGATIVE
18,Q10,Privacy or transparency,NEGATIVE
18,Q11,Not sure,NEUTRAL
18,Q12,Worried or negative,NEGATIVE
18,Q13,Yes,POSITIVE
18,Q14,I would trust it,POSITIVE
19,Q3,Excited or comfortable,POSITIVE
19,Q5,Not concerned,POSITIVE
19,Q6,Agree,POSITIVE
19,Q7,Unsure,NEUTRAL
19,Q8,Uncomfortable,NEGATIVE
19,Q9,Absolutely necessary,NEGATIVE
19,Q10,"Safety, fairness, or job loss",NEGATIVE
19,Q11,I think it can,POSITIVE
19,Q12,Hopeful or positive,POSITIVE
19,Q13,Yes,POSITIVE
19,Q14,I would trust it,POSITIVE
,,,
20,Q3,Excited or comfortable,POSITIVE
20,Q5,Not concerned,POSITIVE
20,Q6,Agree,POSITIVE
20,Q7,Unsure,NEUTRAL
20,Q8,Uncomfortable,NEGATIVE
20,Q9,Absolutely necessary,NEGATIVE
20,Q10,"Safety, fairness, or job loss",NEGATIVE
20,Q11,I think it can,POSITIVE
20,Q12,Hopeful or positive,POSITIVE
20,Q13,Yes,POSITIVE
20,Q14,I would trust it,POSITIVE
21,Q3,Neutral / not sure,NEUTRAL
21,Q5,A little concerned,NEGATIVE
21,Q6,Agree,POSITIVE
21,Q7,I trust them,POSITIVE
21,Q8,Not sure,NEUTRAL
21,Q9,Maybe,NEUTRAL
21,Q10,"Safety, fairness, or job loss",NEGATIVE
21,Q11,Not sure,NEUTRAL
21,Q12,Hopeful or positive,POSITIVE
21,Q13,Maybe / Not sure,NEUTRAL
21,Q14,Not sure,NEUTRAL
22,Q3,Excited or comfortable,POSITIVE
22,Q5,A little concerned,NEGATIVE
22,Q6,Disagree,NEGATIVE
22,Q7,I trust them,POSITIVE
22,Q8,Not sure,NEUTRAL
22,Q9,Absolutely necessary,NEGATIVE
22,Q10,Privacy or transparency,NEGATIVE
22,Q11,I think it can,POSITIVE
22,Q12,Hopeful or positive,POSITIVE
22,Q13,Yes,POSITIVE
22,Q14,I would trust it,POSITIVE
23,Q3,Neutral / not sure,NEUTRAL
23,Q5,A little concerned,NEGATIVE
23,Q6,Disagree,NEGATIVE
23,Q7,I don’t trust them,NEGATIVE
23,Q8,Comfortable,POSITIVE
23,Q9,Absolutely necessary,NEGATIVE
23,Q10,Privacy or transparency,NEGATIVE
23,Q11,I think it can,POSITIVE
23,Q12,Hopeful or positive,POSITIVE
23,Q13,Yes,POSITIVE
23,Q14,I would not trust it,NEGATIVE
24,Q3,Neutral / not sure,NEUTRAL
24,Q5,Not concerned,POSITIVE
24,Q6,Not sure,NEUTRAL
24,Q7,I don’t trust them,NEGATIVE
24,Q8,Comfortable,POSITIVE
24,Q9,Absolutely necessary,NEGATIVE
24,Q10,Privacy or transparency,NEGATIVE
24,Q11,I don’t think so,NEGATIVE
24,Q12,Neutral / unsure,NEUTRAL
24,Q13,Yes,POSITIVE
24,Q14,I would not trust it,NEGATIVE
25,Q3,Neutral / not sure,NEUTRAL
